시도교육청,지역교육청,지역,정보공시 학교코드,학교명,학교급코드,설립구분,제외여부,제외사유,1학년 전입학생수,1학년 전출학생수,1학년 전체학생수,2학년 전입학생수,2학년 전출학생수,2학년 전체학생수,3학년 전입학생수,3학년 전출학생수,3학년 전체학생수,4학년 전입학생수,4학년 전출학생수,4학년 전체학생수,5학년 전입학생수,5학년 전출학생수,5학년 전체학생수,6학년 전입학생수,6학년 전출학생수,6학년 전체 학생수,전입학생수(계),전출학생수(계),전체학생수(계)
서울특별시교육청,교육부,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,2,국립,N,,5.0,0.0,96.0,0.0,0.0,96.0,0.0,0.0,96.0,1.0,0.0,104.0,0.0,0.0,108.0,0.0,0.0,111.0,6.0,0.0,611.0
서울특별시교육청,교육부,서울특별시 종로구,S000003563,서울대학교사범대학부설초등학교,2,국립,N,,4.0,1.0,99.0,7.0,8.0,102.0,2.0,4.0,106.0,4.0,5.0,104.0,3.0,2.0,104.0,0.0,1.0,106.0,20.0,21.0,621.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000738,서울개일초등학교,2,공립,N,,13.0,8.0,157.0,24.0,10.0,164.0,21.0,5.0,175.0,25.0,14.0,179.0,19.0,8.0,177.0,16.0,5.0,152.0,118.0,50.0,1004.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000741,서울구룡초등학교,2,공립,N,,2.0,6.0,122.0,11.0,5.0,108.0,24.0,4.0,126.0,22.0,5.0,129.0,18.0,4.0,129.0,13.0,3.0,119.0,90.0,27.0,733.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000742,서울논현초등학교,2,공립,N,,1.0,7.0,53.0,1.0,6.0,39.0,0.0,3.0,50.0,2.0,3.0,48.0,2.0,10.0,53.0,0.0,0.0,47.0,6.0,29.0,290.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000743,서울대곡초등학교,2,공립,N,,9.0,3.0,116.0,26.0,10.0,180.0,42.0,19.0,197.0,22.0,9.0,213.0,28.0,18.0,253.0,26.0,8.0,262.0,153.0,67.0,1221.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000744,서울대도초등학교,2,공립,N,,14.0,4.0,260.0,27.0,12.0,304.0,40.0,22.0,378.0,47.0,25.0,372.0,38.0,24.0,397.0,42.0,3.0,418.0,208.0,90.0,2129.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000745,서울대모초등학교,2,공립,N,,2.0,6.0,135.0,7.0,6.0,145.0,10.0,9.0,147.0,9.0,6.0,189.0,8.0,12.0,185.0,4.0,6.0,190.0,40.0,45.0,991.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000746,서울대왕초등학교,2,공립,N,,0.0,0.0,96.0,0.0,1.0,102.0,0.0,11.0,104.0,1.0,2.0,140.0,2.0,1.0,165.0,0.0,9.0,147.0,3.0,24.0,754.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000747,서울대진초등학교,2,공립,N,,1.0,4.0,43.0,4.0,8.0,55.0,4.0,4.0,50.0,3.0,10.0,53.0,2.0,3.0,36.0,2.0,3.0,49.0,16.0,32.0,286.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000748,서울대청초등학교,2,공립,N,,0.0,2.0,24.0,1.0,7.0,20.0,0.0,1.0,22.0,0.0,1.0,24.0,3.0,5.0,22.0,2.0,2.0,20.0,6.0,18.0,132.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000749,서울대치초등학교,2,공립,N,,6.0,7.0,161.0,24.0,11.0,247.0,23.0,15.0,258.0,24.0,9.0,319.0,32.0,11.0,318.0,30.0,13.0,353.0,139.0,66.0,1656.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000750,서울대현초등학교,2,공립,N,,11.0,0.0,79.0,25.0,4.0,81.0,29.0,10.0,85.0,37.0,4.0,122.0,40.0,6.0,134.0,61.0,3.0,184.0,203.0,27.0,685.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000751,서울도곡초등학교,2,공립,N,,11.0,4.0,117.0,21.0,8.0,128.0,27.0,6.0,145.0,38.0,6.0,158.0,31.0,12.0,193.0,39.0,9.0,213.0,167.0,45.0,954.0
