order_date,category,item,price
2025.03.08 23:30,tea,GreenTea,6861
2025.10.01 13:05,coffee,Latte,6080
2025.04.30 17:32,smoothie,Mango,6116
2025.12.07 06:45,tea,BlackTea,7807
2024.04.10 00:40,dessert,Cookie,7964
2025.04.15 23:42,tea,GreenTea,5816
2024.07.06 03:18,tea,HerbalTea,3376
2025.07.13 12:37,dessert,Cake,8181
2025.01.18 00:44,dessert,Cookie,6340
2025.01.27 19:16,smoothie,Strawberry,2974
2024.08.22 12:05,tea,GreenTea,5656
2024.12.29 10:36,dessert,Cake,7834
2024.09.12 22:40,smoothie,Mango,8185
2024.11.26 14:12,smoothie,Strawberry,2946
2025.05.03 17:26,coffee,Americano,6979
2025.09.21 08:38,coffee,Americano,8218
2025.02.27 18:26,smoothie,Banana,4500
2024.12.17 11:26,tea,HerbalTea,8174
2025.08.02 07:33,coffee,Latte,2756
2025.07.19 16:10,smoothie,Banana,3186
2025.05.09 16:58,tea,HerbalTea,8470
2024.11.28 12:19,tea,BlackTea,6782
2025.10.21 08:05,coffee,Cappuccino,8806
2025.10.26 07:49,dessert,Cookie,6378
2025.03.16 15:59,coffee,Latte,6346
2024.05.18 11:25,dessert,Cookie,3382
2025.01.24 10:53,tea,BlackTea,3808
2025.11.26 10:38,dessert,Brownie,7361
2024.10.16 10:45,dessert,Brownie,8762
2025.01.31 05:16,smoothie,Banana,4566
2025.10.26 02:01,tea,GreenTea,5295
2025.05.22 16:57,coffee,Americano,5372
2025.01.11 00:38,tea,BlackTea,6823
2025.05.28 12:41,coffee,Cappuccino,2648
2024.04.26 15:41,coffee,Latte,8774
2025.06.15 21:04,dessert,Cookie,5626
2025.09.04 00:04,coffee,Latte,5767
2024.11.24 08:01,tea,GreenTea,3951
2024.12.20 05:19,coffee,Cappuccino,3819
2024.12.09 01:56,dessert,Cookie,5517
2025.01.25 19:15,smoothie,Mango,3129
2025.05.04 21:05,tea,HerbalTea,6967
2024.12.29 20:32,tea,GreenTea,4296
2025.10.29 11:44,smoothie,Mango,4993
2025.03.04 11:51,smoothie,Banana,8578
2024.04.20 05:41,tea,HerbalTea,6833
2024.05.14 04:27,tea,BlackTea,2749
2025.09.15 15:45,tea,GreenTea,5486
2025.02.07 22:06,coffee,Cappuccino,5893
2024.11.02 07:00,smoothie,Strawberry,4217
2025.04.08 01:54,tea,GreenTea,3133
2025.05.04 22:08,smoothie,Strawberry,8717
2025.08.30 20:18,tea,GreenTea,5554
2025.05.02 11:27,coffee,Americano,4377
2024.07.10 23:48,tea,BlackTea,2812
2024.10.03 11:35,tea,BlackTea,8125
2024.08.09 03:39,dessert,Cake,6672
2024.05.01 22:36,dessert,Cookie,3840
2025.09.15 03:33,tea,GreenTea,7617
2025.03.22 10:28,dessert,Cookie,3801
2024.05.24 02:34,dessert,Cookie,5196
2025.09.21 21:38,tea,HerbalTea,4361
2025.04.25 03:24,smoothie,Mango,3642
2025.07.18 15:39,dessert,Cookie,7773
2025.12.12 12:24,smoothie,Banana,7358
2024.09.06 18:48,dessert,Cookie,8277
2025.02.13 17:00,dessert,Cake,4436
2025.08.09 10:37,dessert,Cookie,8602
2025.07.17 23:10,coffee,Latte,5524
2024.06.11 16:25,tea,GreenTea,7446
2025.06.19 16:36,tea,BlackTea,2800
2024.11.24 07:25,dessert,Cookie,6427
2025.01.09 04:35,tea,BlackTea,4375
2024.07.18 17:28,dessert,Cookie,7766
2024.10.30 00:07,smoothie,Strawberry,6962
2024.10.31 12:39,smoothie,Banana,6872
2025.07.20 09:08,tea,BlackTea,7315
2025.07.27 17:12,dessert,Cake,3743
2025.10.20 17:35,dessert,Cake,5378
2025.05.16 05:31,smoothie,Mango,7466
2025.07.13 22:19,smoothie,Mango,5938
2025.05.22 21:55,smoothie,Strawberry,5509
2025.12.21 14:48,dessert,Cake,4797
2024.10.29 04:10,coffee,Americano,8646
2024.11.15 01:53,smoothie,Mango,7584
2025.10.04 09:25,smoothie,Banana,3138
2025.10.23 07:22,dessert,Cookie,5247
2025.06.07 04:25,coffee,Americano,3002
2024.08.18 20:01,smoothie,Strawberry,2835
2025.10.24 23:10,smoothie,Mango,6660
2024.05.12 07:52,coffee,Latte,5987
2024.04.10 14:07,smoothie,Mango,4571
2025.09.17 23:27,smoothie,Strawberry,8706
2025.01.11 07:11,tea,BlackTea,3033
2025.05.03 14:26,smoothie,Strawberry,4083
2025.02.13 08:07,dessert,Cake,3295
2025.06.04 22:05,tea,GreenTea,4206
2025.09.26 16:46,coffee,Americano,8183
2024.08.16 10:18,smoothie,Strawberry,2662
2025.11.06 01:39,dessert,Cookie,6800
2024.11.12 14:39,dessert,Cookie,5181
2024.04.18 03:07,dessert,Brownie,4641
2025.02.04 08:27,tea,HerbalTea,3612
2025.04.16 07:54,tea,GreenTea,5084
2024.04.25 05:03,smoothie,Strawberry,5712
2024.10.16 20:40,coffee,Latte,6371
2024.12.06 23:26,smoothie,Banana,5923
2024.11.05 08:45,coffee,Americano,7072
2024.08.02 08:37,tea,HerbalTea,6606
2025.10.03 04:08,dessert,Brownie,5883
2025.08.03 00:19,tea,BlackTea,5847
2025.03.01 08:33,smoothie,Strawberry,4071
2025.05.20 04:15,coffee,Americano,8079
2025.03.19 12:18,tea,HerbalTea,7694
2025.09.15 01:58,smoothie,Strawberry,4898
2025.07.19 20:41,smoothie,Strawberry,8296
2025.02.05 01:34,smoothie,Mango,7946
2025.07.01 03:07,smoothie,Mango,8913
2025.06.03 17:51,tea,BlackTea,3579
2025.08.14 03:14,smoothie,Strawberry,5504
2025.03.21 22:31,coffee,Americano,8140
2024.11.23 07:29,tea,GreenTea,4506
2025.02.06 23:03,tea,GreenTea,7558
2025.05.23 06:31,tea,BlackTea,6516
2025.09.24 02:45,smoothie,Strawberry,7568
2025.06.11 02:25,tea,BlackTea,7381
2025.02.20 08:09,smoothie,Strawberry,6548
2024.07.15 14:40,tea,HerbalTea,3168
2024.04.01 18:55,tea,BlackTea,2782
2024.05.16 10:53,tea,BlackTea,8571
2025.08.18 14:22,smoothie,Mango,4780
2024.09.02 00:11,dessert,Cookie,5064
2025.04.18 08:29,dessert,Brownie,6153
2025.11.26 06:03,coffee,Cappuccino,4443
2025.12.10 02:58,dessert,Brownie,6757
2025.05.07 07:01,dessert,Cookie,4863
2024.11.08 12:31,smoothie,Banana,7070
2025.01.25 05:46,tea,HerbalTea,5925
2024.07.08 22:46,coffee,Cappuccino,4200
