major_topic,sub_topic,student_id,is_correct
Mathematics,Discrete Mathematics,359,1
Mathematics,Discrete Mathematics,621,1
Computer Science,Databases,1366,1
Mathematics,Discrete Mathematics,1377,0
Physics,Mechanics,535,0
Physics,Quantum,91,0
Physics,Quantum,166,1
Physics,Mechanics,907,1
Mathematics,Discrete Mathematics,502,0
Mathematics,Calculus,731,1
Physics,Quantum,144,1
Physics,Electromagnetism,1258,0
Physics,Electromagnetism,88,0
Computer Science,Operating Systems,444,0
Mathematics,Calculus,1403,1
Physics,Electromagnetism,1430,0
Mathematics,Calculus,254,1
Mathematics,Discrete Mathematics,126,0
Physics,Quantum,468,1
Computer Science,Databases,440,1
Physics,Quantum,741,1
Computer Science,Operating Systems,1029,0
Physics,Electromagnetism,1102,1
Computer Science,Databases,1174,1
Mathematics,Discrete Mathematics,1358,1
Mathematics,Discrete Mathematics,380,0
Computer Science,Databases,147,0
Mathematics,Discrete Mathematics,1049,1
Mathematics,Discrete Mathematics,445,1
Physics,Quantum,434,0
Mathematics,Discrete Mathematics,688,0
Physics,Mechanics,1448,1
Computer Science,Operating Systems,1010,1
Computer Science,Databases,544,0
Physics,Mechanics,1214,1
Physics,Mechanics,1092,0
Physics,Quantum,1475,1
Mathematics,Calculus,234,0
Physics,Quantum,71,1
Physics,Electromagnetism,862,0
Computer Science,Operating Systems,962,1
Physics,Electromagnetism,1281,1
Physics,Electromagnetism,1450,1
Computer Science,Operating Systems,442,1
Computer Science,Databases,1324,1
Computer Science,Operating Systems,1084,1
Mathematics,Discrete Mathematics,110,1
Computer Science,Databases,141,1
Physics,Electromagnetism,823,0
Physics,Electromagnetism,1106,0
Computer Science,Databases,142,0
Computer Science,Operating Systems,483,1
Mathematics,Calculus,1284,0
Physics,Quantum,159,1
Mathematics,Calculus,1338,0
Mathematics,Calculus,373,1
Mathematics,Calculus,508,0
Physics,Quantum,115,1
Mathematics,Discrete Mathematics,913,0
Physics,Quantum,1487,0
Computer Science,Databases,203,1
Mathematics,Calculus,1154,1
Mathematics,Discrete Mathematics,1116,1
Physics,Mechanics,872,1
Physics,Quantum,276,0
Physics,Quantum,366,1
Physics,Quantum,478,1
Physics,Quantum,259,0
Physics,Mechanics,1112,0
Computer Science,Operating Systems,417,0
Physics,Electromagnetism,787,0
Mathematics,Discrete Mathematics,520,1
Physics,Quantum,1407,1
Physics,Electromagnetism,269,0
Physics,Electromagnetism,493,1
Computer Science,Databases,1421,1
Mathematics,Calculus,1201,1
Mathematics,Calculus,1151,1
Physics,Quantum,1449,0
Physics,Electromagnetism,1192,1
Physics,Quantum,545,1
Computer Science,Operating Systems,1149,1
Physics,Mechanics,261,1
Mathematics,Calculus,8,0
Computer Science,Operating Systems,873,0
Computer Science,Operating Systems,135,1
Physics,Mechanics,1134,1
Physics,Mechanics,1016,1
Mathematics,Calculus,630,0
Physics,Quantum,841,1
Computer Science,Databases,1379,1
Mathematics,Calculus,1259,1
Physics,Quantum,190,0
Computer Science,Operating Systems,1274,1
Physics,Quantum,539,1
Computer Science,Databases,1234,0
Computer Science,Operating Systems,1192,1
Computer Science,Databases,1035,0
Mathematics,Calculus,374,0
Physics,Electromagnetism,456,0
Mathematics,Discrete Mathematics,229,1
Physics,Mechanics,1401,0
Computer Science,Databases,688,1
Computer Science,Operating Systems,450,1
Computer Science,Databases,960,1
Computer Science,Databases,344,1
Mathematics,Discrete Mathematics,1367,0
Physics,Electromagnetism,49,1
Computer Science,Databases,253,1
Computer Science,Databases,1471,0
Physics,Quantum,413,0
Computer Science,Operating Systems,574,1
Computer Science,Operating Systems,4,0
Computer Science,Operating Systems,1406,1
Mathematics,Discrete Mathematics,1476,0
Computer Science,Operating Systems,1433,1
Physics,Mechanics,968,1
Physics,Quantum,305,1
Physics,Quantum,695,1
Mathematics,Discrete Mathematics,521,1
Mathematics,Calculus,1394,1
Computer Science,Operating Systems,1444,0
Computer Science,Databases,472,0
Mathematics,Calculus,1488,0
Computer Science,Databases,602,1
Physics,Electromagnetism,813,1
Physics,Quantum,482,0
Physics,Quantum,531,1
Mathematics,Calculus,22,0
Computer Science,Databases,1108,1
Computer Science,Operating Systems,753,1
Mathematics,Discrete Mathematics,337,1
Mathematics,Calculus,1094,1
Physics,Mechanics,748,0
Computer Science,Operating Systems,131,0
Mathematics,Discrete Mathematics,1460,1
Mathematics,Discrete Mathematics,441,1
Physics,Mechanics,1191,0
Mathematics,Calculus,1485,1
Computer Science,Databases,818,1
Mathematics,Calculus,537,1
Physics,Quantum,15,1
Computer Science,Databases,364,0
Computer Science,Databases,1042,0
Mathematics,Calculus,939,1
Physics,Mechanics,1039,1
Physics,Quantum,688,1
Computer Science,Databases,388,0
Mathematics,Calculus,414,0
Computer Science,Databases,1420,1
Computer Science,Databases,1221,1
Mathematics,Discrete Mathematics,790,1
Mathematics,Discrete Mathematics,105,0
Physics,Mechanics,1186,0
Physics,Electromagnetism,1387,1
Physics,Quantum,1175,0
Physics,Mechanics,1113,0
Mathematics,Discrete Mathematics,1478,1
Physics,Quantum,302,0
Physics,Mechanics,1010,0
Physics,Mechanics,1162,1
Physics,Electromagnetism,1448,1
Computer Science,Operating Systems,275,0
Physics,Mechanics,974,1
Mathematics,Discrete Mathematics,942,0
Physics,Mechanics,1021,0
Mathematics,Calculus,792,1
Physics,Quantum,1340,1
Computer Science,Databases,262,1
Computer Science,Operating Systems,186,1
Computer Science,Operating Systems,1181,0
Physics,Electromagnetism,853,1
