,attrition,age,income,overtime
0,0,44,6467,1
1,0,41,6201,0
2,1,25,4017,1
3,0,28,6360,1
4,1,58,2369,0
5,1,30,4317,0
6,0,47,6715,1
7,0,44,6839,0
8,0,47,6395,1
9,0,55,6998,0
10,1,32,4237,1
11,0,28,5236,0
12,0,41,5578,0
13,0,37,5582,0
14,1,41,5710,0
15,0,32,3453,1
16,1,28,2915,1
17,1,29,3056,0
18,0,50,6993,1
19,1,35,5632,1
20,0,57,6202,0
21,1,47,4027,1
22,0,28,6043,0
23,0,27,5356,1
24,0,47,6529,0
25,1,36,5244,1
26,1,49,4729,0
27,1,39,3863,0
28,1,45,5153,1
29,1,49,5438,1
30,1,27,3575,0
31,1,30,4180,0
32,0,40,5257,1
33,1,52,3656,1
34,0,48,6897,0
35,1,59,5134,1
36,1,47,5222,1
37,1,54,3558,1
38,0,56,5900,1
39,0,40,6334,0
40,1,36,2530,1
41,0,28,6134,0
42,1,46,2218,0
43,0,59,5128,0
44,1,55,5445,1
45,1,49,4597,0
46,1,41,5789,1
47,1,36,5169,0
48,0,41,5514,0
49,0,31,3590,1
50,0,36,6192,1
51,1,50,5514,1
52,1,49,2479,1
53,1,25,3486,1
54,0,53,5358,1
55,0,54,6412,0
56,0,26,6719,1
57,0,42,5343,0
58,1,43,3235,1
59,1,50,2485,0
60,0,50,6391,0
61,0,31,4202,0
62,0,43,5663,0
63,1,58,4007,0
64,1,29,2096,0
65,0,27,6185,0
66,1,46,3299,0
67,1,39,2936,0
68,0,32,5133,0
69,1,56,4026,1
70,1,56,4415,0
71,0,30,6504,1
72,1,36,4220,1
73,1,26,5931,0
74,0,53,6317,1
75,1,33,2841,0
76,0,49,4849,1
77,1,40,3569,0
78,1,29,5526,0
79,0,56,5131,0
80,1,50,4375,0
81,0,26,5585,0
82,1,29,2523,1
83,1,43,4797,0
84,0,29,6660,1
85,0,30,6004,0
86,1,44,4203,1
87,0,25,5395,0
88,0,58,6536,0
89,0,50,4872,1
90,1,30,4976,1
91,1,31,3496,1
92,1,25,3262,1
93,1,54,2908,0
94,1,46,4132,0
95,1,39,5050,1
96,0,57,5168,1
97,0,38,5082,0
98,0,38,4061,1
99,1,26,2246,1
100,1,32,5904,0
101,0,54,4880,0
102,1,42,2075,0
103,1,29,2793,1
104,1,37,2007,0
105,0,37,6515,0
106,1,35,2401,1
107,1,47,3515,1
108,1,41,5243,1
109,1,26,2193,1
110,1,56,2233,0
111,1,48,5260,0
112,1,35,3420,0
113,1,51,3561,1
114,1,54,2500,0
115,1,59,4761,0
116,1,31,4130,0
117,0,48,4287,1
118,0,51,6217,1
119,0,35,5598,0
120,0,43,6734,0
121,1,49,3145,1
122,1,44,2404,0
123,0,49,5370,1
124,1,51,3003,1
125,1,35,2871,0
126,1,45,4269,0
127,0,26,4564,0
128,1,48,4717,0
129,1,27,2477,1
130,0,58,5584,1
131,0,26,5011,0
132,1,35,2643,1
133,1,36,4451,0
134,1,29,2052,0
135,1,26,2370,0
136,0,58,6715,0
137,0,49,6688,0
138,0,47,3562,1
139,1,39,4839,0
140,1,49,3600,1
141,1,30,6046,1
142,1,55,2240,0
143,1,52,5918,1
144,0,57,6944,1
145,0,39,6715,1
146,1,50,2342,1
147,1,31,3923,0
148,1,42,4236,0
149,1,37,2921,0
150,1,58,2983,1
151,1,48,2602,1
152,1,56,3747,0
153,0,27,6992,0
154,1,39,3066,1
155,1,46,4697,0
156,0,53,5466,0
157,1,29,4012,1
158,1,55,4904,1
159,1,46,2196,0
160,1,49,3921,0
161,1,35,5371,1
162,1,59,4543,0
163,0,28,5667,0
164,1,25,2515,1
165,1,25,3488,1
166,1,26,2633,0
167,1,32,5204,0
168,0,57,6443,0
169,0,42,5948,1
170,1,27,3749,0
171,1,35,4704,1
172,0,29,5482,1
173,0,38,5844,0
174,1,36,3466,0
175,0,34,6572,1
176,1,53,4840,0
177,1,31,5216,0
178,0,25,5534,1
179,1,39,2027,0
180,1,41,5768,1
181,0,27,6497,0
182,1,40,4485,0
183,0,43,6822,1
184,0,50,5572,0
185,1,55,6205,0
186,0,45,4303,0
187,1,49,4410,1
188,1,39,4693,1
189,1,33,3591,0
190,0,33,5743,1
191,0,37,5094,0
192,1,50,6357,1
193,0,47,5669,1
194,1,44,3398,0
195,1,53,3796,0
196,1,53,2975,1
197,0,51,6372,1
198,0,41,4580,0
199,1,41,4101,0
200,0,36,5006,1
201,1,43,3556,0
202,1,54,4009,0
203,0,44,6709,1
204,0,33,5822,0
205,0,43,5932,0
206,1,51,5541,0
207,1,25,3438,1
208,1,34,3980,1
209,0,38,3491,0
210,0,51,5377,1
211,1,45,3613,0
212,0,34,5102,1
213,0,43,6147,1
214,1,50,5149,1
215,1,33,3992,1
216,1,43,3554,0
217,1,25,2529,0
218,1,31,3067,1
219,0,38,6996,1
220,1,47,2445,1
221,0,35,6062,1
222,1,55,2342,0
223,0,55,6976,0
224,0,35,2863,0
225,0,43,3825,1
226,0,34,5063,1
227,1,56,2229,1
228,1,43,4127,0
229,1,28,4987,0
230,0,41,6807,1
231,0,42,6858,0
232,0,44,6511,1
233,1,43,2297,1
234,1,56,2332,0
235,0,44,6088,0
236,1,34,2727,0
237,0,31,4185,1
238,0,27,4904,0
239,0,32,5662,1
240,0,51,6363,0
241,0,48,5914,0
242,1,40,3686,0
243,1,51,2610,1
244,1,30,4171,0
245,1,58,3716,0
246,1,46,3040,1
247,1,45,4920,0
248,1,51,3852,0
249,0,54,6634,0
250,0,58,5619,1
251,1,30,3719,0
252,1,59,3513,1
253,1,29,2206,0
254,1,50,4208,1
255,1,55,3369,0
256,1,51,2524,1
257,1,45,4175,0
258,1,26,3762,0
259,1,27,6071,0
260,0,43,6742,1
261,1,29,4386,1
262,1,57,2794,1
263,0,37,6652,1
264,0,35,6830,0
265,1,32,2547,0
266,1,38,5007,1
267,1,43,4230,1
268,0,58,5863,0
269,1,25,3764,0
270,0,47,6828,0
271,1,30,2440,1
272,0,42,4963,0
273,1,33,3442,0
274,1,32,2349,1
275,0,42,5955,0
276,0,55,4261,1
277,1,58,2024,0
278,1,32,4010,0
279,0,52,6470,1
280,0,56,5754,1
281,1,50,4288,0
282,0,33,6564,1
283,1,38,3936,1
284,1,40,2582,1
285,0,30,5760,1
286,1,39,4703,1
287,0,51,5368,0
288,1,42,4334,1
289,0,38,6248,1
290,0,31,4388,0
291,0,54,4845,0
292,0,55,5799,1
293,0,37,5076,1
294,1,47,2255,0
295,1,56,2583,1
296,1,33,2377,1
297,0,37,6162,1
298,1,56,2265,0
299,1,49,4840,0
300,0,33,5607,0
301,0,42,6352,1
302,0,36,5548,0
303,1,51,2056,0
304,0,28,4110,0
305,1,43,3074,0
306,1,29,5034,1
307,1,59,2248,1
308,0,38,5577,0
309,1,57,3147,1
310,0,29,6013,1
311,1,40,2709,1
312,0,49,4914,1
313,0,54,5477,1
314,1,32,5936,0
315,1,38,3907,0
316,1,40,2410,0
317,1,27,2559,1
318,0,55,6419,1
319,0,56,3864,1
320,1,25,5239,1
321,1,58,2775,0
322,1,48,6062,0
323,0,31,4017,1
324,1,30,2592,1
325,1,29,3801,1
326,1,47,3905,1
327,1,59,3638,1
328,0,48,6947,0
329,1,38,3288,1
330,1,50,2768,0
331,1,30,3037,0
332,0,25,5044,1
333,1,56,4143,1
334,1,40,2716,0
335,0,29,5049,1
336,1,31,3737,0
337,1,41,3801,0
338,1,51,3468,0
339,0,53,6144,0
340,1,46,2756,0
341,0,54,4581,1
342,0,47,6129,1
343,1,48,4602,1
344,1,32,5175,1
345,1,58,2189,1
346,1,41,3993,0
347,1,59,3276,0
348,1,50,3598,1
349,0,50,6453,0
