order_no,cus_id,product,quantity,price
536342,CUS0084,Monitor,2,110.02
C536505,CUS0058,Headset,2,52.11
536522,CUS0027,Headset,3,93.67
536544,CUS0077,Headset,3,74.05
536682,CUS0089,Headset,2,115.39
536136,CUS0056,Keyboard,1,137.09
536213,CUS0051,Laptop,2,149.35
536168,CUS0081,Headset,1,116.75
536086,CUS0079,Keyboard,3,145.22
536281,CUS0097,Monitor,3,53.61
536575,CUS0095,Headset,3,29.68
536067,CUS0039,Laptop,1,60.97
536730,CUS0022,Mouse,2,48.65
540001,CUS0001,Laptop,2,599.5
536581,CUS0061,Mouse,3,85.56
536275,CUS0083,Laptop,2,18.47
536030,CUS0045,Mouse,1,118.96
C536043,CUS0077,Headset,1,48.1
536834,CUS0061,Keyboard,3,132.07
536658,CUS0035,Laptop,2,88.82
536685,CUS0083,Laptop,1,115.04
536120,CUS0038,Laptop,2,46.95
536723,CUS0011,Monitor,1,30.8
536494,CUS0033,Headset,3,16.54
536572,CUS0081,Monitor,2,143.48
536023,CUS0026,Keyboard,1,22.89
536381,CUS0003,Monitor,3,57.53
536139,CUS0009,Monitor,1,31.25
536464,CUS0056,Laptop,3,65.0
536070,CUS0091,Mouse,2,63.41
536545,CUS0052,Monitor,3,56.55
536107,CUS0059,Mouse,3,129.62
536596,CUS0083,Mouse,2,34.79
C536159,CUS0029,Monitor,2,53.33
536235,CUS0058,Keyboard,2,116.63
536618,CUS0032,Keyboard,3,123.72
536165,CUS0034,Monitor,2,24.01
536059,CUS0088,Mouse,1,143.82
536485,CUS0003,Monitor,3,13.72
536741,CUS0083,Mouse,3,106.55
536528,CUS0005,Keyboard,2,30.09
536039,CUS0018,Keyboard,2,66.4
536423,CUS0027,Keyboard,3,37.14
536739,CUS0023,Mouse,2,140.0
536594,CUS0040,Monitor,2,32.53
C536883,CUS0037,Mouse,1,22.7
536788,CUS0033,Mouse,3,34.01
536266,CUS0005,Monitor,1,14.25
C536881,CUS0093,Keyboard,2,54.25
536261,CUS0034,Keyboard,2,20.32
536265,CUS0077,Laptop,3,149.5
536307,CUS0038,Headset,1,127.22
536192,CUS0068,Mouse,3,143.84
536666,CUS0012,Keyboard,3,19.96
536371,CUS0008,Laptop,3,116.32
C536449,CUS0073,Keyboard,1,43.82
536829,CUS0086,Laptop,2,142.85
536704,CUS0018,Mouse,3,104.01
536296,CUS0085,Keyboard,1,46.49
536076,CUS0087,Laptop,1,109.8
536449,CUS0079,Mouse,2,124.49
536735,CUS0038,Mouse,3,115.46
536665,CUS0051,Headset,3,124.12
C536137,CUS0073,Headset,2,30.08
C536312,CUS0023,Keyboard,2,33.64
536622,CUS0095,Headset,2,126.38
536063,CUS0075,Headset,1,45.22
536790,CUS0092,Monitor,3,81.19
536531,CUS0015,Monitor,1,21.52
536786,CUS0005,Headset,2,11.22
536755,CUS0092,Headset,1,94.5
C536636,CUS0075,Keyboard,1,20.53
536630,CUS0072,Mouse,1,85.94
536299,CUS0054,Headset,3,38.92
536231,CUS0061,Keyboard,1,107.17
536513,CUS0058,Keyboard,1,100.93
536088,CUS0100,Keyboard,2,18.92
536680,CUS0035,Laptop,2,40.22
536649,CUS0051,Mouse,2,89.18
536425,CUS0057,Mouse,3,51.21
536280,CUS0090,Laptop,1,113.54
536497,CUS0096,Laptop,3,137.57
536215,CUS0053,Keyboard,2,106.89
536432,CUS0060,Monitor,2,12.72
536457,CUS0071,Headset,3,41.21
536799,CUS0010,Monitor,1,12.96
536210,CUS0097,Monitor,1,93.95
C536071,CUS0061,Monitor,2,50.88
536096,CUS0082,Laptop,1,31.2
536841,CUS0054,Monitor,1,50.77
C536296,CUS0053,Keyboard,2,13.31
536837,CUS0038,Keyboard,3,21.72
C536103,CUS0059,Mouse,1,25.49
536784,CUS0007,Headset,3,24.83
536708,CUS0013,Laptop,3,67.28
C536053,CUS0014,Keyboard,2,23.83
536260,CUS0070,Keyboard,1,112.66
536072,CUS0031,Keyboard,3,105.85
536523,CUS0058,Laptop,3,72.31
536044,CUS0045,Laptop,3,146.56
536696,CUS0003,Keyboard,1,43.91
536787,CUS0077,Mouse,3,132.66
536599,CUS0073,Laptop,2,88.94
536334,CUS0082,Monitor,2,27.88
536250,CUS0073,Keyboard,3,29.19
536394,CUS0011,Laptop,3,123.52
536483,CUS0100,Mouse,3,33.75
C536293,CUS0023,Mouse,1,55.84
536333,CUS0042,Mouse,3,16.55
536673,CUS0072,Headset,3,46.76
536319,CUS0097,Keyboard,1,35.01
536516,CUS0026,Laptop,3,98.26
536615,CUS0087,Laptop,1,21.22
536448,CUS0022,Laptop,3,81.77
536388,CUS0078,Mouse,1,53.01
536843,CUS0028,Mouse,3,105.13
536254,CUS0051,Laptop,2,76.65
536828,CUS0035,Monitor,1,85.56
C536554,CUS0035,Mouse,1,44.23
536312,CUS0095,Keyboard,3,61.13
C536178,CUS0082,Headset,1,79.51
540003,CUS0001,Keyboard,1,129.89
536060,CUS0088,Monitor,3,122.8
536533,CUS0066,Monitor,2,126.68
536259,CUS0058,Keyboard,2,149.58
536424,CUS0060,Keyboard,3,98.65
536352,CUS0073,Headset,1,79.69
536066,CUS0048,Mouse,1,59.89
536620,CUS0025,Keyboard,2,11.41
536362,CUS0071,Mouse,2,117.46
C536257,CUS0094,Keyboard,1,28.49
C536033,CUS0032,Headset,1,11.52
536370,CUS0013,Monitor,2,14.15
536822,CUS0030,Laptop,2,94.57
C536183,CUS0094,Monitor,1,26.04
536110,CUS0023,Laptop,1,74.34
536795,CUS0011,Monitor,1,139.09
536439,CUS0017,Keyboard,3,100.77
536305,CUS0071,Headset,1,16.7
536493,CUS0014,Mouse,3,92.87
536290,CUS0016,Monitor,1,18.67
536514,CUS0066,Laptop,1,99.32
536717,CUS0034,Keyboard,3,108.84
536382,CUS0096,Mouse,3,34.4
536597,CUS0092,Mouse,1,70.99
536825,CUS0008,Monitor,2,36.01
C536167,CUS0044,Laptop,2,45.26
536137,CUS0047,Keyboard,1,105.36
536321,CUS0042,Monitor,3,101.9
536328,CUS0028,Monitor,3,125.22
536174,CUS0013,Mouse,2,26.7
536715,CUS0071,Keyboard,3,32.47
536621,CUS0013,Headset,2,79.89
536529,CUS0026,Mouse,3,78.0
536294,CUS0001,Keyboard,1,84.07
536158,CUS0066,Keyboard,1,116.0
536707,CUS0100,Mouse,2,13.51
536314,CUS0069,Headset,1,71.47
536078,CUS0014,Monitor,3,36.61
536506,CUS0033,Laptop,2,88.39
536247,CUS0052,Monitor,1,50.95
536218,CUS0060,Laptop,2,50.56
536591,CUS0054,Keyboard,3,133.75
C536842,CUS0062,Mouse,1,15.81
536535,CUS0037,Keyboard,2,101.7
536667,CUS0051,Headset,1,59.78
536065,CUS0060,Laptop,1,130.14
536141,CUS0072,Headset,3,39.91
536198,CUS0038,Mouse,3,117.68
C536626,CUS0063,Mouse,1,64.42
536244,CUS0075,Laptop,3,147.55
536635,CUS0042,Mouse,3,32.72
536199,CUS0077,Mouse,2,135.4
536743,CUS0034,Laptop,2,30.29
536467,CUS0087,Laptop,1,138.07
536277,CUS0093,Keyboard,3,22.77
536802,CUS0048,Keyboard,3,132.61
536049,CUS0035,Monitor,3,147.53
536695,CUS0019,Laptop,2,137.28
536846,CUS0083,Keyboard,3,139.62
536346,CUS0070,Laptop,3,104.36
536316,CUS0044,Mouse,1,89.86
