DateTime,S1_Temp,S2_Temp,S3_Temp,S1_Humidity,S2_Humidity,Illuminance,Noise,CO2,Pressure
2024-01-01 00:00:00,26.7,23.5,24.7,63.5,72.1,320.8,47.3,,1008.2
2024-01-01 01:00:00,27.0,,23.4,63.9,50.5,251.0,48.9,904.0,1008.1
2024-01-01 02:00:00,25.6,27.5,26.2,68.5,53.1,,57.5,752.7,1017.5
2024-01-01 03:00:00,24.7,24.3,26.0,56.1,66.9,329.5,55.0,873.7,1005.6
2024-01-01 04:00:00,22.6,25.7,23.0,63.2,59.2,312.4,34.5,959.0,1003.8
2024-01-01 05:00:00,24.1,24.7,27.2,67.7,61.7,319.6,57.6,884.4,1017.6
2024-01-01 06:00:00,25.1,,24.0,65.7,57.6,307.7,63.5,723.3,1005.8
2024-01-01 07:00:00,26.6,,27.4,56.2,53.9,319.3,68.7,616.5,1017.5
2024-01-01 08:00:00,23.9,24.4,27.8,61.7,61.2,262.2,38.8,,1023.6
2024-01-01 09:00:00,24.7,27.0,26.9,68.4,52.5,291.3,46.0,822.2,1012.8
2024-01-01 10:00:00,23.5,24.7,,63.4,55.1,372.3,35.6,759.1,1017.4
2024-01-01 11:00:00,23.2,,25.6,52.9,59.2,216.1,57.2,789.6,1007.0
2024-01-01 12:00:00,26.0,26.7,21.9,56.1,55.5,295.2,62.3,779.8,1010.5
2024-01-01 13:00:00,25.4,,21.8,58.4,72.5,332.7,52.7,880.0,1016.6
2024-01-01 14:00:00,24.4,24.6,,61.8,64.6,346.6,58.2,609.8,1012.0
2024-01-01 15:00:00,24.1,,23.6,65.1,66.0,309.4,48.4,864.4,1015.8
2024-01-01 16:00:00,,24.4,20.4,51.5,69.7,317.6,45.1,734.8,1006.8
2024-01-01 17:00:00,23.9,24.0,22.5,65.4,58.1,260.6,37.6,,1012.4
2024-01-01 18:00:00,26.4,26.3,27.4,55.1,58.9,295.9,35.0,587.1,1010.4
2024-01-01 19:00:00,25.9,,26.6,52.2,59.8,345.8,36.8,844.8,1006.9
2024-01-01 20:00:00,25.5,,23.6,66.2,60.4,349.0,48.7,866.0,1013.1
2024-01-01 21:00:00,23.4,23.8,,60.9,59.1,392.4,33.8,924.5,1015.7
2024-01-01 22:00:00,20.1,25.8,,64.8,62.2,293.6,21.0,813.3,1018.5
2024-01-01 23:00:00,23.4,22.5,24.7,65.2,63.0,312.2,58.4,694.3,1012.7
2024-01-02 00:00:00,28.6,,25.3,57.6,64.2,282.7,65.8,867.5,1020.3
2024-01-02 01:00:00,26.3,23.3,,63.8,58.6,380.6,43.0,909.0,1008.2
2024-01-02 02:00:00,24.0,29.0,27.6,65.7,54.7,299.0,63.2,761.4,1018.9
2024-01-02 03:00:00,22.2,,23.6,55.8,64.6,227.4,47.2,758.8,1010.3
2024-01-02 04:00:00,24.8,25.1,,58.8,64.2,223.9,27.7,607.7,1006.5
2024-01-02 05:00:00,29.7,25.8,25.4,61.5,51.4,384.1,47.0,689.5,1020.9
2024-01-02 06:00:00,24.0,23.0,20.4,57.7,64.1,370.2,30.4,,1005.8
2024-01-02 07:00:00,23.5,22.5,,71.4,56.5,409.5,30.0,904.1,1002.5
2024-01-02 08:00:00,25.7,,21.8,66.2,65.8,345.9,46.0,734.5,1006.0
2024-01-02 09:00:00,24.2,,25.2,65.4,57.5,260.9,47.4,830.3,1007.6
2024-01-02 10:00:00,,23.0,25.9,56.9,60.9,231.8,36.1,906.9,1021.1
2024-01-02 11:00:00,23.8,26.1,,53.9,61.4,261.5,40.9,949.0,1017.4
2024-01-02 12:00:00,27.7,,21.2,58.1,67.2,261.7,35.7,767.5,1012.4
2024-01-02 13:00:00,,25.1,23.3,56.8,58.9,417.1,44.4,699.1,1009.1
2024-01-02 14:00:00,26.9,27.1,25.4,60.9,52.0,,26.6,648.2,1007.0
2024-01-02 15:00:00,25.5,27.3,28.6,62.4,58.1,274.1,36.1,816.8,1000.9
2024-01-02 16:00:00,,24.8,23.4,54.6,54.4,301.1,55.3,761.8,1010.6
2024-01-02 17:00:00,25.4,26.6,23.2,71.0,52.8,315.7,33.8,697.4,1008.7
2024-01-02 18:00:00,25.0,28.5,,60.4,59.3,255.9,34.5,867.0,1014.7
2024-01-02 19:00:00,29.1,,24.8,59.8,54.0,192.3,45.2,770.4,1012.5
2024-01-02 20:00:00,26.6,23.6,24.5,65.9,62.9,384.5,34.3,812.7,1011.7
2024-01-02 21:00:00,26.3,23.1,,56.9,52.4,226.7,57.9,872.8,1006.1
2024-01-02 22:00:00,21.5,,26.0,53.7,62.4,302.2,41.4,589.0,1019.4
2024-01-02 23:00:00,22.3,,24.5,60.8,60.2,277.3,38.0,797.0,1016.9
2024-01-03 00:00:00,26.8,29.3,22.5,56.5,55.6,319.9,29.7,,1012.6
2024-01-03 01:00:00,22.3,,24.1,66.7,54.0,372.3,44.5,952.4,1010.9
2024-01-03 02:00:00,26.9,27.0,,66.0,57.8,304.8,44.5,856.3,1014.0
2024-01-03 03:00:00,23.3,28.5,22.8,58.5,59.9,337.3,36.3,950.4,1014.7
2024-01-03 04:00:00,26.3,,24.9,54.3,65.7,264.5,39.3,786.8,1017.0
2024-01-03 05:00:00,25.5,29.0,24.8,64.1,63.3,370.9,41.2,891.0,1008.0
2024-01-03 06:00:00,25.7,,24.9,58.9,53.8,210.6,66.8,692.2,1012.0
2024-01-03 07:00:00,22.0,22.9,26.0,60.4,58.9,,38.7,760.4,1013.7
2024-01-03 08:00:00,28.1,19.7,23.9,56.9,60.0,221.9,45.9,756.3,1014.0
2024-01-03 09:00:00,27.1,26.8,23.5,51.2,53.5,322.5,33.1,888.1,1014.1
2024-01-03 10:00:00,,24.2,25.2,50.3,62.9,237.5,52.2,831.2,1012.7
2024-01-03 11:00:00,23.3,26.1,21.1,64.7,58.7,289.0,25.1,928.1,1011.5
2024-01-03 12:00:00,28.3,,23.6,55.8,60.4,319.4,55.0,860.3,1000.6
2024-01-03 13:00:00,22.6,26.6,,63.1,66.2,262.5,45.9,936.7,1019.6
2024-01-03 14:00:00,28.4,23.5,26.3,69.7,62.1,233.4,50.2,795.3,1012.5
2024-01-03 15:00:00,22.4,,25.6,67.7,63.1,280.4,32.2,787.4,1020.5
2024-01-03 16:00:00,22.2,24.8,28.2,56.4,64.3,355.8,42.3,790.4,1024.0
2024-01-03 17:00:00,25.5,23.3,23.9,54.0,55.5,,43.6,818.2,1008.2
2024-01-03 18:00:00,27.7,24.7,25.6,67.6,50.9,342.1,50.2,729.9,1002.4
2024-01-03 19:00:00,27.6,23.7,25.0,57.2,61.4,293.4,51.0,954.5,1007.4
2024-01-03 20:00:00,22.0,29.1,24.1,64.4,59.4,231.2,45.3,737.5,1013.5
2024-01-03 21:00:00,21.8,,25.6,57.0,65.4,292.8,51.7,848.8,1014.6
2024-01-03 22:00:00,25.8,27.0,,59.5,68.9,244.3,41.3,825.6,1010.8
2024-01-03 23:00:00,25.3,26.9,22.8,59.1,58.7,202.9,51.7,823.9,1007.0
2024-01-04 00:00:00,21.4,25.7,,50.0,58.6,278.4,44.6,725.8,1015.4
2024-01-04 01:00:00,23.9,,26.8,59.4,43.4,226.1,41.7,739.6,1012.2
2024-01-04 02:00:00,27.8,,25.0,61.2,56.6,306.7,57.0,547.9,1015.6
2024-01-04 03:00:00,26.0,26.3,25.4,62.5,52.7,266.6,37.8,827.4,1019.1
2024-01-04 04:00:00,23.7,25.6,,58.1,48.0,261.0,41.0,874.6,1007.1
2024-01-04 05:00:00,23.7,,22.5,57.7,55.8,231.2,51.4,748.4,1012.0
2024-01-04 06:00:00,22.8,,27.3,53.8,63.9,306.5,58.1,620.9,1011.7
2024-01-04 07:00:00,,27.0,26.4,73.4,59.9,272.9,52.7,920.9,1011.4
2024-01-04 08:00:00,24.6,,23.8,60.2,59.0,335.8,46.9,784.3,1015.4
2024-01-04 09:00:00,23.3,26.7,25.8,60.9,61.8,373.4,37.6,674.1,1012.2
2024-01-04 10:00:00,25.2,23.0,21.2,51.8,55.9,337.8,27.9,667.4,1009.3
2024-01-04 11:00:00,,23.6,23.2,62.9,68.3,308.9,47.7,734.2,1011.2
2024-01-04 12:00:00,19.2,25.2,22.2,66.4,58.9,385.2,46.9,910.5,1011.0
2024-01-04 13:00:00,23.6,26.0,24.6,54.1,57.3,355.2,35.2,670.8,1024.1
2024-01-04 14:00:00,23.4,26.7,23.0,52.3,61.2,363.6,46.9,887.3,1012.3
2024-01-04 15:00:00,24.6,27.6,27.2,61.6,51.3,399.0,54.4,782.9,1015.2
2024-01-04 16:00:00,23.1,22.8,24.9,65.1,54.8,375.8,50.5,810.6,1021.6
2024-01-04 17:00:00,21.6,25.3,26.5,51.4,56.5,296.9,40.1,,1016.5
2024-01-04 18:00:00,27.2,25.1,25.1,61.8,67.6,193.8,55.8,730.6,1003.4
2024-01-04 19:00:00,26.3,24.6,23.0,64.9,64.0,242.3,37.5,842.9,1014.0
2024-01-04 20:00:00,25.2,23.7,,57.5,58.1,301.7,62.2,810.4,1011.7
2024-01-04 21:00:00,,26.7,25.9,59.2,60.8,303.7,54.2,786.2,1012.4
2024-01-04 22:00:00,22.3,27.7,,63.4,55.6,323.4,60.9,849.4,1011.9
2024-01-04 23:00:00,24.8,24.6,29.1,62.3,52.6,359.8,43.5,708.0,1019.3
2024-01-05 00:00:00,26.6,23.7,25.7,48.1,56.2,304.7,51.7,632.7,1009.9
2024-01-05 01:00:00,27.9,21.9,23.4,70.8,57.3,298.9,48.5,636.5,1012.3
2024-01-05 02:00:00,28.0,,24.8,62.1,59.9,219.2,62.1,827.7,1007.5
2024-01-05 03:00:00,26.1,24.8,27.8,58.9,56.2,310.2,42.4,705.8,1015.1
2024-01-05 04:00:00,28.8,27.2,24.6,60.8,66.6,332.3,58.5,778.3,1009.4
2024-01-05 05:00:00,25.2,29.2,28.0,58.4,59.2,323.7,54.4,860.2,1017.4
2024-01-05 06:00:00,24.9,26.8,26.2,63.6,77.3,,50.7,692.4,1015.2
