,Guild_Contribution,Character_Level,Weekly_Playtime,Chat_Activity,Days_Inactive,Guild_Rank,PVP_Score,Quest_Completed,Item_Level,User_Level
0,184.76,20,46.11,97,14,0,397.7,93,230.45,0
1,987.68,120,58.79,0,0,5,999.0,471,250.54,2
2,274.9,40,41.66,136,0,8,633.58,245,253.44,1
3,581.71,83,15.56,186,1,3,144.42,0,200.18,1
4,129.14,19,28.74,135,4,3,240.33,209,176.01,0
5,166.76,39,18.93,218,9,0,206.22,21,100.0,0
6,171.55,4,34.76,190,29,3,90.1,52,448.87,0
7,406.23,36,68.83,298,6,3,415.01,436,495.68,1
8,680.97,76,11.12,349,4,1,458.71,647,118.39,1
9,611.62,104,16.05,285,8,5,336.55,610,453.92,1
10,179.47,51,41.58,80,16,1,532.84,141,176.63,0
11,660.69,94,50.81,400,1,5,999.0,409,394.48,2
12,464.95,106,61.34,6,7,0,772.57,485,100.0,1
13,84.14,48,55.31,120,3,5,93.91,190,271.91,0
14,141.07,55,23.92,175,19,1,433.9,220,375.65,0
15,71.77,44,19.11,160,28,0,181.89,45,102.21,0
16,671.68,71,20.43,81,9,4,508.95,211,243.44,0
17,281.0,31,37.66,276,1,6,443.65,555,270.36,1
18,132.26,45,37.14,157,17,0,182.85,230,376.0,0
19,294.35,57,12.11,113,3,6,528.46,264,103.93,0
20,420.97,59,7.26,32,13,7,238.43,40,165.65,1
21,485.31,60,32.32,33,21,2,244.4,301,393.66,0
22,415.55,29,19.44,89,1,1,274.45,258,254.8,0
23,81.61,42,21.11,19,3,0,391.69,156,357.77,0
24,317.4,88,18.79,66,5,0,508.14,245,419.18,1
25,565.82,48,16.83,61,12,0,359.01,148,184.66,1
26,331.62,27,9.64,0,26,2,296.06,179,378.87,0
27,459.74,68,39.24,200,12,4,159.14,331,407.93,1
28,284.71,17,41.14,176,19,3,571.69,577,372.65,1
29,228.61,21,16.94,64,7,0,267.64,368,500.0,0
30,783.81,57,65.45,31,20,2,546.35,673,198.89,1
31,459.55,2,23.36,70,0,1,398.03,73,191.59,0
32,492.89,80,21.2,178,4,0,90.27,362,132.24,0
33,850.47,22,70.0,138,5,2,235.22,307,500.0,1
34,575.51,43,62.91,207,0,7,664.08,629,500.0,2
35,369.02,49,22.31,83,6,3,649.75,158,102.46,1
36,144.72,57,19.49,198,22,0,64.32,81,192.24,0
37,138.8,56,23.72,80,24,0,262.53,218,196.0,0
38,837.77,72,70.0,20,10,3,392.12,668,452.17,1
39,182.32,38,37.04,0,6,0,341.84,530,200.0,0
40,278.75,55,23.83,139,29,0,288.67,335,314.16,0
41,174.89,91,62.23,192,7,5,356.99,490,342.25,1
42,265.27,47,50.37,20,21,3,254.01,122,332.26,0
43,333.49,56,27.89,75,9,2,898.0,476,313.39,1
44,38.5,67,18.04,26,5,4,244.22,145,323.08,0
45,977.69,102,45.09,80,6,8,704.43,496,391.26,1
46,62.63,48,33.56,174,22,0,363.97,11,166.56,0
47,483.27,78,39.3,177,2,7,313.21,226,148.65,1
48,163.34,38,32.49,321,11,2,359.87,502,395.1,1
49,471.85,34,4.91,0,7,3,223.34,62,277.07,0
50,519.92,80,45.51,266,0,8,777.79,598,500.0,2
51,481.6,98,33.65,53,10,4,454.59,520,449.73,1
52,232.56,19,33.96,56,0,0,250.88,463,100.0,1
53,618.62,65,42.53,158,0,8,440.2,379,464.93,1
54,549.28,33,70.0,224,9,0,372.32,242,306.65,1
55,245.81,73,52.06,326,0,0,478.44,603,339.71,1
56,109.41,38,22.34,17,11,0,157.81,121,214.29,0
57,277.24,19,20.27,197,19,3,252.42,326,192.4,0
58,233.58,39,53.18,280,0,0,167.67,166,500.0,0
59,325.51,54,3.84,76,2,2,377.93,458,211.58,0
60,147.16,50,23.48,218,23,0,518.86,0,472.19,0
61,221.14,26,11.08,0,9,1,130.58,135,100.0,0
62,440.04,22,64.5,183,2,6,394.06,279,445.82,1
63,30.47,41,11.45,77,15,2,234.06,344,215.93,0
64,38.32,72,43.99,143,4,5,76.71,571,342.48,0
65,684.47,83,31.72,175,19,3,527.03,416,491.06,1
66,214.07,45,23.36,114,10,0,476.2,494,325.88,0
67,220.22,42,70.0,251,7,6,565.97,297,261.7,1
68,169.51,41,16.58,148,15,0,71.82,133,286.55,0
69,655.41,93,31.17,247,2,2,582.04,723,204.25,2
70,731.51,54,47.78,294,8,2,463.34,296,279.84,1
71,585.56,20,25.28,147,23,4,482.89,267,139.26,0
72,304.38,83,11.47,48,0,0,687.94,265,382.33,0
73,507.84,41,25.8,193,4,4,412.39,410,290.76,1
74,115.25,88,33.75,198,0,3,862.53,654,377.99,1
75,147.04,53,70.0,144,9,3,372.6,290,420.18,1
76,548.54,28,42.78,57,4,6,734.24,618,340.46,1
77,53.12,33,7.74,96,23,0,316.27,408,217.31,0
78,151.32,34,27.68,27,10,0,312.45,321,101.65,0
79,166.55,69,20.45,124,12,5,369.36,386,258.07,0
80,332.32,66,18.21,37,20,5,628.27,661,190.31,1
81,480.13,53,66.74,182,9,4,925.23,478,287.76,1
82,301.91,63,8.75,58,3,0,473.65,332,316.61,0
83,86.67,1,4.86,121,28,2,423.89,199,335.54,0
84,246.08,8,39.67,94,1,1,163.88,0,154.05,0
85,110.57,25,21.71,139,5,0,111.04,338,148.84,0
86,458.6,44,29.46,56,12,6,529.96,248,414.57,1
87,163.03,38,26.96,170,16,6,457.5,607,293.84,1
88,453.43,83,30.1,91,19,8,530.18,542,305.68,1
89,165.49,61,18.45,123,5,5,502.36,367,314.01,1
90,286.87,48,45.13,164,24,2,427.5,142,165.82,0
91,241.94,81,35.21,163,19,0,326.93,481,387.18,1
92,654.09,75,70.0,245,4,9,295.61,484,299.98,1
93,353.45,95,70.0,156,0,3,676.78,254,239.64,1
94,224.58,80,29.22,109,12,1,505.02,531,369.11,1
95,219.38,74,70.0,33,0,8,374.1,433,166.19,1
96,542.27,77,49.58,342,9,5,248.44,353,244.03,1
97,145.91,56,37.99,108,5,2,35.19,187,250.39,0
98,185.99,17,15.76,104,11,6,85.28,219,500.0,0
99,344.86,62,35.32,169,8,2,568.76,274,133.37,0
100,195.69,70,43.63,126,16,0,173.17,516,230.34,0
101,650.38,98,21.67,148,1,8,491.73,312,316.63,1
102,232.97,63,41.86,61,6,0,630.08,197,173.63,0
103,432.77,76,40.81,306,6,1,427.68,270,500.0,1
104,231.59,57,25.04,90,5,4,248.2,233,327.48,1
105,68.71,64,43.31,0,9,0,383.24,82,258.85,0
106,65.93,75,10.36,216,21,3,127.89,515,405.1,0
107,184.92,76,24.22,164,7,2,551.25,220,258.3,1
108,271.79,8,39.02,186,3,0,352.61,283,114.31,0
109,123.64,54,30.74,203,17,0,98.25,492,168.11,0
110,255.6,91,4.87,157,8,4,389.03,83,120.92,0
111,472.79,52,8.13,125,0,3,136.11,67,179.26,0
112,549.1,103,21.96,56,5,0,307.48,230,500.0,1
113,309.0,89,22.23,73,13,3,283.61,224,384.5,1
114,295.37,83,30.17,107,3,5,578.08,505,170.5,1
115,454.82,34,33.72,336,4,1,465.36,246,311.02,1
116,482.3,86,25.21,134,0,4,979.82,545,393.67,1
117,82.78,18,5.57,72,8,6,165.98,33,250.37,0
118,830.64,49,1.27,100,0,1,441.02,436,435.3,1
119,542.31,84,40.09,66,20,5,359.5,522,189.04,1
120,565.42,29,43.28,186,11,6,579.26,516,142.39,1
121,210.08,93,25.23,151,0,1,614.03,457,355.45,1
122,362.23,1,14.38,48,21,5,346.2,59,214.72,0
123,98.95,1,37.21,216,9,0,336.17,344,127.24,0
124,195.79,24,23.44,180,30,2,190.68,165,194.94,0
125,343.68,1,22.64,204,5,0,150.11,489,366.01,0
126,572.12,67,43.05,243,14,4,130.65,479,358.75,1
127,412.92,47,13.95,191,0,6,769.53,470,115.56,1
128,218.13,56,12.3,141,6,0,202.99,323,253.23,0
129,220.53,88,22.36,214,13,7,598.96,193,500.0,1
130,127.47,17,6.79,75,1,0,517.91,0,145.34,0
131,334.73,1,12.33,132,18,6,180.76,188,100.0,0
132,561.74,1,29.5,133,17,2,392.88,249,276.72,0
133,276.94,55,7.26,181,1,0,486.33,103,103.85,0
134,626.98,77,41.25,203,5,2,273.01,334,237.87,1
135,363.25,58,25.94,190,3,0,82.58,480,262.79,0
136,291.37,43,19.72,208,11,0,341.77,521,500.0,1
137,567.66,64,45.63,51,12,3,418.25,164,184.5,1
138,88.77,9,15.55,32,29,0,142.56,184,260.88,0
139,433.9,84,65.15,84,10,3,545.88,800,372.3,2
140,987.68,64,31.6,365,4,4,472.91,689,113.64,2
141,182.55,10,4.15,192,7,6,304.06,211,290.58,0
142,779.9,72,24.08,85,6,1,254.17,364,500.0,1
143,111.77,49,4.8,14,10,3,267.34,436,273.16,0
144,370.36,50,4.3,116,0,0,237.38,391,241.11,0
145,82.07,69,10.69,161,9,4,52.34,398,326.51,0
146,251.83,86,48.41,316,6,4,141.1,462,181.76,1
147,830.57,92,26.3,305,4,0,453.66,531,500.0,1
148,631.33,34,6.94,237,9,0,421.6,81,256.9,0
149,437.33,74,38.45,21,8,3,63.86,303,389.08,0
150,332.05,53,21.65,176,8,0,999.0,417,398.48,1
151,638.67,27,31.23,142,4,0,67.09,0,140.72,0
152,404.38,25,41.08,0,0,0,42.9,445,242.38,0
153,565.23,35,30.66,71,2,0,183.8,358,166.21,1
154,927.56,94,25.09,327,3,9,264.82,652,500.0,2
155,331.63,45,12.68,41,9,4,126.24,180,236.14,0
156,333.74,28,28.96,60,0,2,538.62,280,128.29,1
157,861.63,5,6.41,28,18,5,584.12,498,464.25,1
158,367.55,20,19.03,58,17,0,294.67,352,195.03,0
159,515.21,58,13.2,132,8,4,377.13,218,338.75,1
160,357.8,10,33.29,82,1,2,77.94,386,100.0,0
161,148.6,81,18.04,67,16,2,449.69,191,500.0,1
162,434.83,61,24.91,205,6,1,382.5,564,218.08,1
163,377.13,99,37.35,185,14,4,596.11,430,288.35,1
164,56.8,15,50.51,98,3,0,169.64,210,223.97,0
165,558.18,62,44.44,15,2,0,836.91,583,413.68,1
166,429.1,28,6.22,91,0,0,118.08,0,177.03,0
167,443.98,19,8.98,173,4,0,632.73,392,348.49,0
168,314.31,7,11.02,101,1,4,72.94,209,386.6,0
169,565.03,96,12.11,297,7,0,655.74,227,383.9,1
170,355.72,59,14.18,177,9,3,413.7,262,315.68,1
171,231.93,82,13.85,41,0,0,229.6,379,351.35,0
172,610.53,40,67.87,272,2,5,545.71,515,455.13,1
173,99.39,1,16.71,84,13,0,265.78,27,185.74,0
174,483.97,96,18.43,132,0,7,238.76,339,363.26,1
175,41.28,23,55.69,62,23,2,675.79,365,124.14,0
176,972.69,68,36.18,152,16,6,362.73,267,100.0,1
177,361.86,8,11.96,15,15,0,328.26,339,173.88,0
178,240.98,16,8.58,5,17,8,176.43,551,161.29,1
179,131.1,17,15.23,177,11,3,286.87,3,175.18,0
180,141.2,29,16.72,44,13,3,144.01,209,209.89,0
181,94.57,1,7.88,56,5,3,177.25,138,100.0,0
182,391.65,54,22.1,270,18,5,329.09,527,275.33,1
183,258.56,94,53.89,164,4,5,577.53,433,500.0,1
184,168.24,1,39.69,25,11,3,80.6,396,368.18,0
