sales,visit_count,page_time,ad_clicks,promotion_budget
35341.61172742562,36,168,18,11340
64757.84913209858,32,214,21,11224
40615.68424124691,56,172,6,5468
52009.48075731408,70,234,5,7486
32462.259064580823,27,88,8,7547
31896.076664499156,26,213,8,9690
17147.415756665643,22,145,21,6735
534.793071089116,13,143,26,4512
46603.14982929293,36,227,37,6071
43194.244842189255,29,66,38,3200
47200.57554533769,36,56,13,10446
40670.79046841185,56,133,14,9969
13599.231889276896,62,24,19,11086
45473.84355355449,11,245,7,8141
42714.64794938885,12,158,20,10423
8618.139911023354,18,22,6,9548
59754.967676199565,45,187,14,3391
74976.9436365907,54,209,19,4312
38849.04958415328,18,121,36,11296
43327.05477562665,63,142,8,3569
38169.09388038367,46,87,12,3621
56182.5992892239,39,202,27,5894
38071.048428423695,32,36,32,3629
33560.1926245296,20,134,8,8534
60441.59629385032,55,233,19,10837
30704.14766969325,11,50,18,4749
32383.63262642132,24,70,19,6017
46693.42716996867,12,233,38,10254
48553.80922627446,32,181,10,8116
33842.079972481326,76,123,34,7310
30371.35755743159,51,46,15,9986
28668.463798052315,46,103,26,3897
4018.189821334352,61,115,14,11013
48349.96220430245,54,112,36,7734
22396.27419416739,58,84,19,4091
24809.84235711197,18,37,6,7970
31144.843875688784,70,96,33,6225
29343.817774752908,13,31,38,9618
23304.501433532725,62,100,15,9651
54041.78177256612,41,228,33,6353
31158.1135854474,54,84,37,9311
32742.315914511237,40,125,30,6565
52215.78605584432,41,219,14,6621
18506.92980762498,41,110,20,4701
48886.97271534857,43,236,13,9979
13565.12331417024,70,68,34,3221
42616.56107157567,68,238,33,9682
53126.46912253453,79,73,12,3859
30100.45707205565,44,56,23,6474
23014.55980592715,45,94,7,3676
31864.269820453268,57,166,22,11519
58574.187193495294,73,231,31,10543
19195.292215864814,22,231,28,10419
49071.69470667479,56,97,24,4754
32337.308454934697,77,43,32,6066
43360.67366651524,52,245,31,10191
42863.08886837552,11,162,11,5622
43210.71157125881,33,174,15,10401
39578.65688385618,40,199,16,6508
35907.33457765398,59,135,38,9436
41226.390004848414,31,211,14,6279
20153.24568317704,32,166,18,4437
32086.140079985213,17,192,34,7384
29268.566409674047,72,95,37,5217
50010.70343429238,51,145,8,7774
7452.319823481073,14,65,36,7839
36901.14978571834,26,153,27,10559
10751.515392553489,22,65,33,8742
28018.274300184017,24,85,33,3956
22819.79537622233,79,74,8,7594
33525.43158091111,65,220,31,4955
24044.387506423205,16,214,34,4883
43114.51098927762,19,232,29,5990
29417.36639877085,31,156,31,11088
34092.99420153378,21,194,7,3855
43034.23908513288,55,231,17,9644
29071.28961715031,30,93,11,5023
25686.86907085633,56,111,14,5935
50119.70290574273,45,115,6,9335
40764.29039404942,63,42,23,5774
35265.84088651028,76,78,6,9936
10034.313429513404,59,43,23,7352
41542.84852918606,31,180,9,7938
51462.130814084834,37,138,12,4274
34334.2226988265,32,107,23,10556
47831.91448429789,44,233,12,3287
37335.7962280464,53,24,20,3810
31384.59182454652,17,61,14,9890
20943.304007552164,17,55,32,5834
29105.424692617624,10,58,21,7561
54950.36276021261,51,133,34,3273
41371.930437560055,14,127,27,5394
35426.66077673739,54,228,33,11076
47524.65662210072,75,239,14,3307
12195.957789853765,31,21,22,5233
50548.23308385188,74,164,28,4203
29734.078493429985,55,97,8,4732
55645.26187183454,69,196,35,5580
48016.06141519448,58,171,11,8596
42083.47100774526,33,37,28,6692
42037.70251414038,56,148,25,10459
38062.4584732754,12,231,20,9505
50751.96394065776,39,114,18,10266
12521.539966331718,26,46,31,6239
39790.86571423502,75,118,20,6544
38276.7658930758,32,110,14,7202
25818.807059326147,21,148,21,8941
35547.02929518424,61,142,8,8334
26293.331502493096,50,116,13,3082
-4363.866208031453,59,78,33,5213
64978.05979653393,59,241,38,10713
16691.48460827573,32,37,36,10777
45174.61176934118,75,245,29,4913
37465.91498401618,16,33,36,5943
35997.979409473075,47,182,9,6854
48269.43885169481,49,211,37,6037
32270.61356075961,49,143,30,5397
32347.78779132374,13,140,21,9822
8268.585779844012,43,58,38,3059
63892.01842740706,49,168,19,11153
49746.59523216179,58,75,5,7805
47618.97377144816,38,221,11,8344
42362.01084104588,71,188,34,3774
51590.72240821836,51,199,27,3804
18837.561483109646,18,45,19,10126
51335.53436151112,49,130,5,3302
42540.09706939751,11,120,13,5805
40478.838366947966,30,106,35,10793
59419.91560187349,19,208,16,5144
26531.22269228498,18,191,5,7376
27793.33083412863,24,186,26,4815
42513.99095657528,55,151,7,8018
42126.01792160017,61,49,35,8934
36239.36374413448,63,165,27,3413
37613.70999144299,19,96,22,4177
13704.744312715551,45,61,20,5336
61702.616433901865,33,231,6,3625
43185.055653287855,35,231,16,5504
68934.23843705199,34,172,26,3146
53279.563642412366,32,208,6,4382
41401.25468072463,68,241,21,4063
18405.02020292633,36,73,5,10699
31983.818615157918,25,132,37,5060
29806.033618234927,51,140,21,7867
31775.63743783542,50,141,11,3343
25612.26114209473,33,166,19,6384
28246.962864496432,77,55,28,5722
15368.019031901831,10,29,27,9468
37198.34923931364,44,160,26,8339
4377.303894127032,70,63,22,8913
22160.38873438342,59,215,21,4713
27900.36293960674,50,46,34,10540
39746.75576248036,18,202,14,4652
29953.25982531385,14,107,12,5302
46832.69525078068,61,188,19,6149
21702.27326700725,16,149,8,5635
17399.7870218666,78,53,32,4734
63311.89344269908,15,172,11,6020
44580.77307968878,42,174,16,5528
38977.736419915935,40,157,29,9086
40950.74693661916,79,139,25,7569
30893.54417289737,17,139,18,6542
56986.944752673226,25,159,35,6410
58974.61538377895,26,121,33,5399
10876.241221491164,77,66,34,9998
48479.40710700226,22,101,20,8074
39627.99370799619,29,119,20,3861
59131.18600708924,30,194,9,3448
55057.10004898917,46,194,5,6434
61784.15405878223,73,238,18,4603
15222.735704209868,51,80,20,9940
43793.595111577866,74,177,17,6611
49103.76796173223,35,175,20,7044
32111.332327972905,16,129,14,11646
36013.124803511884,19,181,38,3578
19001.676193745243,23,34,16,7130
55076.918135559245,58,111,9,6519
30465.367512077493,38,172,9,8523
45828.24732398032,48,136,29,7214
61552.41026568998,20,195,20,11295
40799.78634214062,72,173,29,6971
26333.58712106107,63,131,29,3062
37496.83452562704,44,137,37,4382
17737.12848262682,62,81,28,9232
50549.382795748366,21,159,23,8440
7394.347375907721,61,48,37,8164
16665.655253328412,19,53,26,8880
16473.308244693002,50,64,39,10182
53419.32541636721,25,219,39,3983
43925.193587629605,19,120,18,4333
20459.17867381692,73,113,20,3666
46189.35534179122,38,228,33,3237
15325.943540814758,40,113,12,7984
54017.89011781404,37,188,23,11480
29026.22755570483,28,84,22,9450
46537.18279875537,27,131,8,4121
31829.997842713456,21,142,5,5155
24390.27008067125,35,86,29,11870
43025.97750072958,30,244,28,11433
25265.513559398176,53,142,22,7384
