id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
35742633,Luxury new 1 bed apartment in East Williamsburg,265866685,Mindy,Brooklyn,Bushwick,40.69796,-73.92915,Entire home/apt,30,0,,,2,179,198
15840089,Kid- (and Adult-) Friendly Uptown 2-Bedroom,99602138,Yolanda,Manhattan,Washington Heights,40.8349,-73.94829,Entire home/apt,3,36,2019-01-01,1.13,1,5,150
24495605,Brooklyn Art Residence,75173477,Lara,Brooklyn,Bushwick,40.69932,-73.91190999999999,Entire home/apt,3,7,2019-05-05,0.48,1,6,200
16238779,Spacious Studio Duplex in Heart of Williamsburg!,36382944,Joshua,Brooklyn,Williamsburg,40.7152,-73.9623,Entire home/apt,31,2,2018-01-01,0.06,1,0,230
25265496,Beautiful large 2 br appartement in Brooklyn!,22935245,Anne,Brooklyn,Bedford-Stuyvesant,40.69168,-73.95397,Entire home/apt,21,1,2018-07-14,0.08,1,25,145
2447460,Cozy Entire Apt1Bd APT inGREAT Loc,12386614,Carlos,Manhattan,East Harlem,40.79926,-73.94499,Entire home/apt,3,2,2018-04-15,0.13,1,249,125
3343038,Mellow One Bedroom in Chelsea ,16872923,Spencer,Manhattan,Chelsea,40.74934,-74.00274,Entire home/apt,1,8,2014-08-28,0.13,1,365,370
14694588,"Spacious Studio Room in Flushing, Queens",91381742,Pearl,Queens,Flushing,40.75577,-73.83263000000001,Private room,2,42,2019-05-19,1.23,1,355,60
10246056,Williamsburg Renovated Vintage 3BR,52663715,Mo,Brooklyn,Williamsburg,40.7126,-73.94668,Entire home/apt,3,97,2019-05-31,2.37,1,230,255
32681549,"Artful UWS Loft with Terrace Near Central Park,",245314318,Arthouse Hotel,Manhattan,Upper West Side,40.78133,-73.98132,Private room,1,0,,,10,271,305
13433027,Holistic Health Stay New York,69632344,Sister Shai,Queens,South Ozone Park,40.67866,-73.8068,Entire home/apt,5,44,2019-05-19,1.22,1,350,100
25951465,NYC HUB Master Bedroom: Train @900ft,20912691,Jeff,Queens,Jamaica,40.71106,-73.78393,Private room,2,10,2019-05-08,0.79,7,0,59
30853530,Cute and Cozy Bedroom in Northern Manhattan,21934258,Sonia,Manhattan,Harlem,40.82263,-73.9547,Private room,4,8,2019-05-27,1.7,1,0,65
22438519,Big Private Room in Perfect Williamsburg Location,125898610,Tay,Brooklyn,Williamsburg,40.71479,-73.93961,Private room,2,0,,,1,0,75
32837987,Bed-Stuy Modern and Minimal,43207895,Alexandra,Brooklyn,Bedford-Stuyvesant,40.68851,-73.95174,Private room,3,3,2019-06-15,0.82,2,197,60
12869662,Bright Williamsburg Loft w Balcony,8636489,Evan,Brooklyn,Williamsburg,40.71701,-73.95685,Entire home/apt,5,14,2018-07-01,0.41,1,0,250
17698990,A4Long Island City Big Room Great Location,79105834,Leo,Queens,Long Island City,40.75603,-73.93405,Private room,1,86,2019-06-23,3.09,9,301,58
36226035,Entire cozy apartment with Manhattan views,127388906,Carrie,Queens,Astoria,40.759,-73.9159,Entire home/apt,3,0,,,1,32,120
24279547,Rooftop Terrace Room - Inn Your Element  B&B,19866189,Natasha,Queens,Arverne,40.58896,-73.79494,Private room,1,2,2018-07-01,0.15,5,361,95
3553768,"Serene, minimalist studio W Village",17891677,Arianna,Manhattan,West Village,40.73496,-74.00005,Entire home/apt,5,64,2019-06-24,1.09,1,329,200
12051116,1BD Park views UWS,6255163,Tracy,Manhattan,Upper West Side,40.79982,-73.96191999999999,Entire home/apt,2,16,2019-06-01,0.42,1,220,150
9668,front room/double bed,32294,Ssameer Or Trip,Manhattan,Harlem,40.82245,-73.95104,Private room,3,242,2019-06-01,2.04,3,355,50
32239033,Sonder | Stock Exchange | Smart 1BR + Kitchen,219517861,Sonder (NYC),Manhattan,Financial District,40.70583,-74.01089,Entire home/apt,2,4,2019-06-24,1.97,327,333,221
30389066,"Light-filled Chelsea 1BR w/ Balcony, Gym, Doorman by Blueground",107434423,Blueground,Manhattan,Chelsea,40.73786,-73.9977,Entire home/apt,30,0,,,232,322,358
8250457,"Heart of W. Village 1-BR, Renovated",43509184,Catrina,Manhattan,West Village,40.73418,-74.0046,Entire home/apt,3,117,2018-01-11,2.58,1,0,194
2909006,Loft Like Studio in Luxury Building,14861483,Brian,Manhattan,Battery Park City,40.7162,-74.01565,Entire home/apt,1,0,,,1,0,325
1137270,large Private room in UWS New York,6169516,Audra,Manhattan,Upper West Side,40.788920000000005,-73.97435,Private room,3,13,2016-08-23,0.17,1,219,135
11714323,100% 5★ Reviews - Big 2-Bed 2-Bath – Central Wburg,10078038,Robert,Brooklyn,Williamsburg,40.71765,-73.95189,Entire home/apt,5,46,2019-06-22,1.18,1,29,300
22086518,West Village + Water Views,3484157,Lauren,Manhattan,West Village,40.73983,-74.009,Private room,2,2,2018-03-15,0.11,1,0,250
31203696,"1 bedroom / 1 bathroom in Bushwick, Brooklyn",1498228,Annie,Brooklyn,Bushwick,40.68759,-73.90727,Private room,3,7,2019-06-25,1.11,1,69,79
32864955,Cozy Apartment near NYC Central Park & Riverside,235905088,Dominique,Manhattan,Upper West Side,40.8022,-73.9666,Entire home/apt,7,8,2019-06-22,2.53,1,176,325
9426418,Modern Williamsburg Apartment,32725953,Andrew,Brooklyn,Williamsburg,40.7197,-73.95519,Entire home/apt,4,0,,,1,0,100
28538946,Spacious & Bright 1 Bedroom Refuge in the Big City,904138,Paul,Queens,Astoria,40.76214,-73.92148,Entire home/apt,6,1,2019-04-07,0.32,1,0,150
3715638,Sunny Private Room at Central Park!,9784206,Saint,Manhattan,East Harlem,40.79508,-73.94895,Private room,1,204,2019-07-05,3.41,1,219,72
