id,age,city,f1,f2,f3,f4,f5,subscribed,views
id01,2.0,서울,,0,gold,ENFJ,91.29779092,2024-07-16,6820.0
id02,9.0,서울,70.0,1,,ENFJ,60.33982554,2024-05-12,2534.0
id03,27.0,서울,61.0,1,gold,ISTJ,17.25298557,2024-03-16,7312.0
id04,75.0,서울,,2,,INFP,52.66707799,2024-07-21,493.0
id05,24.0,서울,85.0,2,,ISFJ,29.26986926,2024-03-07,1338.0
id06,22.0,서울,57.0,0,vip,INTP,20.1294441,2024-09-12,21550.0
id07,36.3,서울,60.0,1,,ISFJ,9.796377581,2024-01-11,61.0
id08,38.0,서울,101.0,1,silver,INFJ,83.68538032,2024-03-06,3260.0
id09,3.3,서울,35.0,2,,ESFJ,17.25298557,2024-03-21,2764.0
id10,95.0,서울,74.0,1,gold,ISFP,98.42989897,2024-04-03,9992.0
id100,47.0,경기,53.0,0,vip,ESFP,33.30899901,2024-02-21,15535.0
id11,40.0,서울,68.0,0,gold,ENFP,98.42989897,2024-10-29,6752.0
id12,20.0,서울,,0,,ESTP,91.29779092,2024-11-30,1367.0
id13,15.0,서울,68.0,0,gold,ESFJ,83.68538032,2024-12-30,5643.0
id14,77.0,서울,50.0,1,gold,ENTJ,67.8863732,2024-09-19,5700.0
id15,22.0,서울,67.0,1,gold,ENTP,9.796377581,2024-05-26,7676.0
id16,68.0,서울,85.0,0,gold,ESFP,16.2838541,2024-07-25,9472.0
id17,74.0,서울,,1,gold,ISTP,67.8863732,2024-10-26,9441.0
id18,41.0,서울,87.0,2,gold,ISFJ,80.13828012,2024-03-03,7933.0
id19,53.0,서울,,0,gold,ISFP,83.68538032,2024-12-24,5287.0
id20,11.0,서울,51.0,1,,INTJ,91.29779092,2024-07-16,
id21,90.0,부산,,1,gold,ISFP,29.26986926,2024-05-03,9690.0
id22,-6.3,부산,72.0,1,gold,ENFP,52.66707799,2024-02-09,6147.0
id23,34.0,부산,75.0,1,gold,ISTP,69.73031281,2024-05-21,6236.0
id24,80.0,부산,44.0,0,gold,INFJ,73.58639712,2024-09-11,5976.0
id25,34.0,부산,,0,gold,ESTP,60.33982554,2024-07-12,8954.0
id26,55.0,부산,57.0,1,gold,ENFP,83.68538032,2024-05-01,5857.0
id27,37.0,부산,60.0,0,silver,ESTP,73.58639712,2024-10-13,4255.0
id28,38.0,부산,34.0,1,gold,ENTP,80.13828012,2024-10-31,5068.0
id29,-13.5,부산,47.0,2,gold,ENTP,67.8863732,2024-08-28,6793.0
id30,16.0,부산,,0,,ESTJ,17.25298557,2024-05-28,240.0
id31,86.0,부산,77.0,0,gold,ESFJ,73.58639712,2024-02-11,8014.0
id32,25.0,부산,64.0,0,vip,ISFJ,13.04992129,2024-05-24,17421.0
id33,47.0,부산,94.0,0,silver,ENFJ,17.25298557,2024-04-02,3880.0
id34,65.0,부산,,1,silver,INFP,48.43118381,2024-02-01,3163.0
id35,30.0,부산,,2,silver,ESTJ,33.30899901,2024-06-10,3084.0
id36,68.0,부산,77.0,1,gold,INTP,13.04992129,2024-07-20,9713.0
id37,100.0,부산,,0,silver,ESTP,33.30899901,2024-07-08,4068.0
id38,87.0,부산,,1,,ESTP,83.68538032,2024-06-21,1048.0
id39,56.0,부산,50.0,0,,INFJ,33.30899901,2024-12-22,
id40,56.0,대구,75.0,0,gold,ENFP,17.25298557,2024-01-22,8481.0
id41,81.0,대구,55.0,0,gold,ENFJ,37.11373918,2024-10-04,8640.0
id42,65.0,대구,48.0,2,gold,ESTP,33.30899901,2024-02-09,5999.0
id43,23.0,대구,60.0,0,silver,ISTP,29.26986926,2024-05-18,3878.0
id44,44.0,대구,,0,,INTP,16.2838541,2024-11-10,546.0
id45,97.0,대구,88.0,0,gold,ENFJ,13.04992129,2024-06-21,8317.0
id46,93.0,대구,,0,gold,ESTJ,67.8863732,2024-05-23,9711.0
id47,34.6,대구,75.0,1,gold,ESTJ,90.49699927,2024-05-28,8628.0
id48,18.0,대구,,0,,ENFP,20.1294441,2024-03-25,
id49,75.0,대구,88.0,0,gold,INTP,37.11373918,2024-03-31,9737.0
id50,86.0,대구,78.0,1,,ENFP,60.33982554,2024-12-05,1935.0
id51,36.0,대구,,0,gold,ISTJ,83.68538032,2024-08-20,7217.0
id52,97.0,대구,82.0,1,gold,ISFJ,90.49699927,2024-05-20,8518.0
id53,52.0,대구,50.0,0,gold,ESTP,20.1294441,2024-09-09,7012.0
id54,53.0,대구,,1,gold,ENFJ,69.73031281,2024-06-21,5872.0
id55,75.0,대구,63.0,2,gold,ENTP,13.04992129,2024-02-06,6042.0
id56,59.0,대구,,1,vip,ESTJ,73.58639712,2024-04-05,19589.0
id57,3.0,대구,111.0,0,silver,ISFJ,29.26986926,2024-01-12,4421.0
id58,0.0,대구,100.0,2,,ESTP,33.30899901,2024-04-18,1928.0
id59,64.0,대구,,1,silver,ESFJ,20.1294441,2024-06-23,4994.0
id60,56.0,경기,,0,gold,ESFP,52.66707799,2024-11-24,6794.0
id61,87.0,경기,62.0,2,,INTP,69.73031281,2024-02-03,218.0
id62,52.0,경기,,0,,INTP,60.33982554,2024-04-10,2100.0
id63,88.0,경기,86.0,1,silver,ISFJ,73.58639712,2024-12-01,4053.0
id64,43.0,경기,62.0,2,gold,ESFP,73.58639712,2024-02-22,5995.0
id65,26.5,경기,,0,silver,ISFP,91.29779092,2024-01-10,3336.0
id66,87.0,경기,,1,gold,ISFP,17.25298557,2024-08-05,8471.0
id67,66.0,경기,52.0,1,,ISFJ,73.58639712,2024-06-17,1159.0
id68,35.0,경기,45.0,2,gold,ISFP,67.8863732,2024-07-29,8599.0
id69,75.0,경기,85.0,0,,ESTJ,69.73031281,2024-11-14,2708.0
id70,-9.0,경기,96.0,1,silver,ISTP,48.43118381,2024-11-17,4442.0
id71,35.0,경기,84.0,2,gold,ISFP,52.66707799,2024-07-15,8087.0
id72,8.0,경기,97.0,0,,ESTJ,97.38103419,2024-01-30,602.0
id73,90.0,경기,,1,,ISFJ,73.58639712,2024-08-12,512.0
id74,45.0,경기,98.0,0,gold,ESTP,52.66707799,2024-05-27,7739.0
id75,63.0,경기,47.0,0,gold,ESTP,20.1294441,2024-06-12,6779.0
id76,71.0,경기,12.0,0,,ENTJ,83.68538032,2024-07-28,2872.0
id77,77.0,경기,31.0,0,,INFP,98.42989897,2024-01-16,1518.0
id78,92.0,경기,96.0,1,gold,INTJ,69.73031281,2024-10-27,7565.0
id79,30.0,경기,,0,gold,INTJ,80.13828012,2024-08-14,8777.0
id80,67.0,경기,60.0,0,silver,ISFP,83.68538032,2024-01-14,4381.0
id81,86.0,경기,50.0,1,,ISFJ,37.11373918,2024-09-14,244.0
id82,48.0,경기,,0,,ENTJ,37.11373918,2024-10-17,
id83,73.0,경기,50.0,1,vip,ENTP,80.13828012,2024-09-26,19139.0
id84,66.0,경기,44.0,0,gold,INTP,83.68538032,2024-12-19,5650.0
id85,83.6,경기,55.0,0,gold,INFJ,80.13828012,2024-09-24,6719.0
id86,2.0,경기,,0,,ESTP,29.26986926,2024-02-16,2155.0
id87,19.0,경기,,1,gold,ISFP,97.38103419,2024-08-30,6516.0
id88,89.0,경기,75.0,0,,ESTJ,60.33982554,2024-01-06,2713.0
id89,34.0,경기,66.0,1,gold,ENTJ,33.30899901,2024-10-14,6119.0
id90,54.0,경기,,0,silver,ENTP,29.26986926,2024-04-03,3818.0
id91,6.0,경기,72.0,0,gold,INTP,9.796377581,2024-08-23,8988.0
id92,97.0,경기,78.0,1,gold,INFP,97.38103419,2024-05-08,9625.0
id93,21.8,경기,57.0,0,,ISFP,73.58639712,2024-06-07,42.0
id94,84.0,경기,,1,silver,ESTJ,90.49699927,2024-08-16,3774.0
id95,77.0,경기,43.0,1,gold,INTJ,91.29779092,2024-05-21,8697.0
id96,92.0,경기,53.0,1,silver,ENTJ,52.66707799,2024-05-06,4336.0
id97,100.0,경기,,0,gold,INFP,67.8863732,2024-03-18,6687.0
id98,39.0,경기,58.0,2,,INFP,98.42989897,2024-10-02,865.0
id99,1.0,경기,47.0,0,gold,ESFJ,97.38103419,2024-12-02,6090.0
id100,47.0,경기,53.0,0,vip,ESFP,33.30899901,2024-02-21,15535.0
id68,35.0,경기,45.0,2,gold,ISFP,67.8863732,2024-07-29,8599.0
id101,36.0,경기,65.0,0,silver,ISFP,0.0,2025-01-29,5735.0
id102,43.0,대구,34.0,0,,ISFP,0.0,2025-01-30,8765.0
id103,21.0,부산,53.0,0,vip,ISFP,0.0,2025-02-17,13543.0
id104,21.0,서울,13.0,0,silver,ESFJ,0.0,2025-02-17,4556.0
id105,21.0,경기,24.0,0,gold,ESFJ,0.0,2025-02-17,7654.0
id106,21.0,대구,65.0,0,vip,INFP,0.0,2025-02-17,4212.0
id107,21.0,부산,76.0,1,silver,ESTJ,0.0,2025-02-17,2346.0
id108,21.0,서울,54.0,1,gold,ESTJ,0.0,2025-02-17,2178.0
id109,21.0,경기,78.0,1,vip,ESTJ,0.0,2025-02-17,6790.0
id110,22.0,대구,45.0,2,silver,ESTJ,0.0,2025-02-17,2112.0
id111,22.0,부산,65.0,2,gold,ENTP,0.0,2025-02-17,7894.0
id112,22.0,서울,45.0,2,vip,ENTP,0.0,2025-02-17,9877.0
id113,22.0,경기,34.0,2,silver,ENTP,0.0,2025-02-17,10346.0
id114,22.0,대구,23.0,0,gold,INTP,0.0,2025-02-17,9747.0
id115,23.0,부산,65.0,0,vip,ENTP,0.0,2025-02-17,5628.0
id116,23.0,서울,12.0,1,silver,INFP,0.0,2025-02-17,1267.0
id117,23.0,대구,65.0,2,gold,INFP,0.0,2025-02-17,6543.0
id118,24.0,부산,94.0,1,vip,ESFJ,0.0,2025-02-17,2356.0
